Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
"Total cropland  ............................................................. farms, 2012",598,,246,816,954,409,191,75,,344,,,
2007,683,,252,989,"1,215",483,279,73,,411,,,
"acres, 2012","36,842",,"20,694","31,695","68,684","127,288","13,893","1,886",,"12,808",,,
2007,"49,321",,"19,431","36,826","89,492","144,998","19,771","1,785",,"19,816",,,
"Harvested cropland  ................................................. farms, 2012",519,,213,769,882,336,179,66,,319,,,
2007,541,,197,841,961,332,239,58,,361,,,
"acres, 2012","28,638",,"16,607","26,967","60,446","119,686","11,800","1,078",,"10,773",,,
2007,"26,301",,"11,666","25,314","57,295","126,867","12,901","1,102",,"10,017",,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",80,,30,77,100,45,30,12,,40,,,
2007,277,,84,338,451,132,93,22,,159,,,
"acres, 2012","4,055",,"2,310","3,502","4,297","3,222","1,688",570,,973,,,
2007,"19,057",,"4,369","9,208","24,142","8,282","5,925",(D),,"8,597",,,
Item,Van Buren,Warren,Washington,Wayne,Weakley,White,,Williamson,Wilson,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",245,"1,122","1,312",664,861,927,,"1,160","1,473",,,,
2007,213,"1,331","1,650",646,"1,214","1,035",,"1,442","1,745",,,,
"Land in farms  ............................................................... acres, 2012","36,972","163,384","111,692","133,427","254,133","121,704",,"138,782","188,222",,,,
2007,"34,844","160,583","118,595","115,307","255,550","131,652",,"161,851","192,920",,,,
"Average size of farm  ............................................ acres, 2012",151,146,85,201,295,131,,120,128,,,,
2007,164,121,72,178,211,127,,112,111,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",245,"1,122","1,312",664,861,927,,"1,160","1,473",,,,
2007,213,"1,331","1,650",646,"1,214","1,035",,"1,442","1,745",,,,
"$1,000, 2012","137,586","583,043","716,708","268,786","756,266","458,317",,"1,023,644","834,291",,,,
2007,"99,215","567,133","653,969","253,951","646,854","432,628",,"868,638","789,832",,,,
"Average per farm  ............................................... dollars, 2012","561,577","519,647","546,271","404,798","878,357","494,409",,"882,452","566,389",,,,
2007,"465,800","426,095","396,345","393,113","532,829","417,998",,"602,384","452,626",,,,
"Average per acre  ............................................... dollars, 2012","3,721","3,569","6,417","2,014","2,976","3,766",,"7,376","4,432",,,,
2007,"2,847","3,532","5,514","2,202","2,531","3,286",,"5,367","4,094",,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",20,90,55,42,91,73,,54,70,,,,
"$50,000 to $99,999  .................................................................",29,106,60,70,145,100,,50,78,,,,
"$100,000 to $199,999  .............................................................",52,231,217,167,195,181,,149,262,,,,
"$200,000 to $499,999  .............................................................",94,423,546,263,230,307,,350,601,,,,
"$500,000 to $999,999  .............................................................",33,150,296,76,69,145,,261,274,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",10,69,81,33,43,78,,180,121,,,,
"$2,000,000 to $4,999,999  .......................................................",1,43,49,8,55,38,,92,56,,,,
"$5,000,000 to $9,999,999  .......................................................",3,5,8,4,16,4,,19,6,,,,
"$10,000,000 or more  ..............................................................",3,5,-,1,17,1,,5,5,,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","174,986","276,915","208,938","469,827","371,435","241,078",,"372,868","365,336",,,,
"Proportion in farms  ........................................... percent, 2012",21.1,59,53.5,28.4,68.4,50.5,,37.2,51.5,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,16,62,112,14,27,47,,74,82,,,,
acres,103,303,(D),86,135,203,,393,426,,,,
10 to 49 acres  ................................................................ farms,87,404,618,115,263,314,,465,469,,,,
acres,(D),"10,688","15,877",(D),"7,202","8,482",,"12,456","12,258",,,,
50 to 69 acres  ................................................................ farms,22,122,158,79,101,95,,131,160,,,,
acres,"1,333","6,967","9,321","4,619","5,697","5,647",,"7,621","9,248",,,,
70 to 99 acres  ................................................................ farms,26,103,147,84,89,108,,126,205,,,,
acres,"2,133","8,525","12,185","7,109","7,297","9,154",,"10,340","17,121",,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,22,116,91,88,105,104,,81,182,,,,
acres,"2,599","13,776","10,607","10,296","11,950","12,047",,"9,250","21,079",,,,
140 to 179 acres  ............................................................ farms,10,78,53,61,40,63,,69,109,,,,
acres,"1,601","12,099","8,191","9,796","6,230","9,951",,"10,846","17,466",,,,
180 to 219 acres  ............................................................ farms,14,40,33,40,45,60,,54,63,,,,
acres,"2,721","7,851","6,449","7,940","8,870","11,804",,"10,551","12,444",,,,
220 to 259 acres  ............................................................ farms,12,41,20,23,22,31,,34,34,,,,
acres,"2,841","10,021","4,710","5,520","5,137","7,411",,"8,113","8,159",,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,22,85,52,109,59,59,,85,115,,,,
acres,"7,356","29,716","17,720","36,502","20,634","19,914",,"29,681","41,669",,,,
500 to 999 acres  ............................................................ farms,8,49,21,32,43,39,,30,44,,,,
acres,"4,870","32,025","13,701","20,411","31,544","24,703",,"18,379","29,957",,,,
"1,000 to 1,999 acres  ...................................................... farms",4,18,5,17,38,5,,7,9,,,,
acres,"4,470","22,267","8,262","22,031","50,161",(D),,"9,825",(D),,,,
"2,000 acres or more ....................................................... farms",2,4,2,2,29,2,,4,1,,,,
acres,(D),"9,146",(D),(D),"99,276",(D),,"11,327",(D),,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,5,150,221,19,62,79,,124,168,,,,
acres,27,746,"1,262",135,365,344,,728,992,,,,
10 to 49 acres  ................................................................ farms,68,493,773,146,417,349,,600,619,,,,
acres,"1,916","12,629","19,421","3,724","11,350","9,190",,"15,488","15,261",,,,
50 to 69 acres  ................................................................ farms,19,132,181,72,139,98,,153,151,,,,
acres,"1,120","7,460","10,645","4,214","8,197","5,557",,"8,872","8,784",,,,
70 to 99 acres  ................................................................ farms,22,115,146,86,149,108,,137,214,,,,
acres,"1,850","9,462","11,939","7,128","12,232","8,931",,"11,176","17,716",,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,22,121,125,80,154,115,,127,181,,,,
acres,"2,471","14,175","14,453","9,275","17,957","13,388",,"14,555","21,176",,,,
140 to 179 acres  ............................................................ farms,16,77,69,50,60,76,,68,108,,,,
acres,"2,412","11,948","10,850","7,814","9,452","12,001",,"10,803","17,265",,,,
180 to 219 acres  ............................................................ farms,16,55,31,41,42,56,,50,71,,,,
acres,"3,137","10,929","6,107","8,096","8,296","11,085",,"9,859","14,045",,,,
220 to 259 acres  ............................................................ farms,10,33,30,24,25,42,,35,52,,,,
acres,"2,466","7,876","7,213",(D),"6,061","10,037",,"8,368","12,406",,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,17,98,45,84,62,69,,104,132,,,,
acres,"5,510","35,261","16,089","29,431","23,147","24,193",,"35,852","45,197",,,,
500 to 999 acres  ............................................................ farms,14,44,25,30,44,37,,27,43,,,,
acres,"9,039","29,063","16,285","20,255","32,705","24,330",,"18,391","29,422",,,,
"1,000 to 1,999 acres  ...................................................... farms",4,9,4,12,38,3,,14,5,,,,
acres,"4,896","11,890","4,331","14,820","52,669","4,200",,"19,358",(D),,,,
"2,000 acres or more ....................................................... farms",-,4,-,2,22,3,,3,1,,,,
acres,-,"9,144",-,(D),"73,119","8,396",,"8,401",(D),,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",172,845,"1,099",456,687,637,,802,969,,,,
2007,164,"1,051","1,392",495,"1,017",791,,"1,009","1,189",,,,
"acres, 2012","11,010","83,668","49,377","36,716","203,832","39,583",,"52,354","57,164",,,,
2007,"14,267","91,434","62,646","41,334","204,739","56,816",,"69,786","69,093",,,,
"Harvested cropland .................................................. farms, 2012",156,777,"1,059",410,532,596,,732,889,,,,
2007,146,895,"1,210",399,662,674,,812,920,,,,
"acres, 2012","7,257","69,318","44,565","26,535","189,021","33,163",,"45,780","47,947",,,,
2007,"7,544","63,485","44,461","20,372","168,342","33,258",,"44,628","41,681",,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",27,82,119,83,74,59,,109,109,,,,
2007,42,316,515,197,289,288,,334,425,,,,
"acres, 2012","1,711","6,988","3,219","7,530","3,958","4,418",,"4,436","5,759",,,,
2007,"2,810","18,381","14,577","16,763","14,501","19,949",,"19,403","22,437",,,,
Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,,Blount,Bradley,Campbell,,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland  ........................................................ farms, 2012","10,167",35,125,137,72,,102,87,58,,,,
2007,"12,828",64,169,165,82,,136,100,44,,,,
"acres, 2012","375,899",459,"4,613","8,248","2,198",,"2,591","2,518",893,,,,
2007,"630,085","1,027","8,713","9,608","3,449",,"3,307","2,918","1,277",,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed  ...................................... farms, 2012","8,939",26,110,127,65,,84,73,51,,,,
2007,"9,625",53,106,142,63,,89,75,26,,,,
"acres, 2012","322,744",368,"3,324","7,381","1,825",,"1,786","2,215",726,,,,
2007,"416,333",795,"4,150","8,738","2,693",,"2,074","2,283",410,,,,
"Cropland on which all crops failed  ....................... farms, 2012","1,652",10,21,12,14,,22,17,10,,,,
2007,"3,980",18,74,27,26,,51,33,24,,,,
"acres, 2012","52,616",88,"1,289",816,373,,(D),(D),(D),,,,
2007,"213,530",232,"4,563",870,756,,"1,227",635,867,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow  .................. farms, 2012",95,3,-,3,-,,2,1,2,,,,
2007,96,-,-,-,-,,4,-,-,,,,
"acres, 2012",539,3,-,51,-,,(D),(D),(D),,,,
2007,222,-,-,-,-,,6,-,-,,,,
,,,,,,,,,,,,,
"Total woodland  ............................................................ farms, 2012","42,898",314,852,334,345,,567,495,236,,,,
2007,"43,439",326,836,298,319,,596,455,254,,,,
"acres, 2012","2,303,156","10,658","41,335","23,867","20,898",,"18,733","18,490","6,973",,,,
2007,"2,042,868","10,799","36,152","17,270","17,045",,"15,338","19,111","6,483",,,,
,,,,,,,,,,,,,
"Woodland pastured  ................................................. farms, 2012","22,524",153,576,148,178,,328,230,151,,,,
2007,"25,028",161,586,119,205,,380,246,169,,,,
"acres, 2012","737,308","3,636","26,459","4,487","4,637",,"6,504","5,732","2,274",,,,
2007,"769,416","2,891","20,856","3,164","5,456",,"6,929","7,528","2,568",,,,
"Woodland not pastured  ........................................... farms, 2012","28,260",216,397,256,244,,331,330,156,,,,
2007,"26,310",241,391,238,189,,341,287,153,,,,
"acres, 2012","1,565,848","7,022","14,876","19,380","16,261",,"12,229","12,758","4,699",,,,
2007,"1,273,452","7,908","15,296","14,106","11,589",,"8,409","11,583","3,915",,,,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text)  .............. farms, 2012","47,710",347,"1,086",279,436,,720,613,294,,,,
2007,"48,245",327,999,260,368,,767,610,289,,,,
"acres, 2012","2,915,268","13,512","95,015","22,644","36,056",,"35,526","35,805","13,992",,,,
2007,"2,545,047","10,515","80,446","14,737","28,944",,"27,704","32,462","12,095",,,,
,,,,,,,,,,,,,
"Land in farmsteads, homes, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc.  ..................... farms, 2012","42,220",275,921,290,350,,650,510,220,,,,
2007,"35,426",251,765,209,257,,512,435,137,,,,
"acres, 2012","319,696","1,512","7,468","2,845","2,750",,"3,705","3,720","1,036",,,,
2007,"334,535","1,796","7,722","2,919","3,013",,"3,814","3,487",724,,,,
"Pastureland, all types  .................................................. farms, 2012","51,727",365,"1,178",321,477,,769,637,310,,,,
2007,"62,682",434,"1,302",350,485,,979,776,352,,,,
"acres, 2012","4,059,581","17,919","134,463","32,263","48,111",,"47,648","43,468","17,323",,,,
2007,"4,505,286","20,109","136,277","29,238","49,006",,"49,338","52,689","19,427",,,,
,,,,,,,,,,,,,
CONSERVATION AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs  ............................. farms, 2012","3,437",2,21,96,6,,8,11,1,,,,
2007,"5,220",1,29,124,20,,-,9,1,,,,
"acres, 2012","179,740",(D),655,"5,763",217,,328,495,(D),,,,
2007,"289,200",(D),"1,541","7,216",453,,-,292,(D),,,,
,,,,,,,,,,,,,
"Land enrolled in crop insurance programs  .................. farms, 2012","3,041",2,50,20,15,,16,16,4,,,,
2007,"3,275",-,32,4,6,,10,6,1,,,,
"acres, 2012","2,070,554",(D),"18,499","12,205","2,419",,"4,492","2,451",478,,,,
2007,"1,864,247",-,"9,883","2,855","1,105",,"2,577","1,145",(D),,,,
,,,,,,,,,#NAME?,,,,
Item,Cannon,,Carroll,Carter,,Cheatham,Chester,Claiborne,Clay,,Cocke,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland  ......................................................... farms, 2012",63,,240,55,,62,142,168,70,,88,,
2007,81,,286,74,,110,167,128,67,,107,,
"acres, 2012","1,665",,"13,070",989,,"2,516","4,859","3,354","2,183",,"2,154",,
2007,"2,597",,"17,723","1,413",,"5,472","7,816","4,129","2,085",,"3,566",,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed  ....................................... farms, 2012",50,,229,46,,60,139,141,59,,75,,
2007,59,,262,57,,87,144,89,44,,69,,
"acres, 2012","1,381",,"12,633",809,,"2,180","4,763","2,790","1,625",,"1,674",,
2007,"1,655",,"14,144",848,,"2,747","6,026","2,866","1,142",,"1,928",,
"Cropland on which all crops failed  ....................... farms, 2012",17,,21,14,,7,4,43,12,,19,,
2007,26,,42,30,,26,32,54,25,,44,,
"acres, 2012",284,,(D),180,,336,96,(D),558,,477,,
2007,942,,(D),565,,"2,725","1,790",(D),943,,(D),,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow  .................. farms, 2012",-,,1,-,,-,-,1,-,,3,,
2007,-,,1,-,,-,-,2,-,,1,,
"acres, 2012",-,,(D),-,,-,-,(D),-,,3,,
2007,-,,(D),-,,-,-,(D),-,,(D),,
,,,,,,,,,,,,,
"Total woodland  ............................................................ farms, 2012",473,,493,337,,286,255,679,313,,451,,
2007,531,,534,327,,336,263,739,273,,447,,
"acres, 2012","28,266",,"33,288","10,857",,"14,773","18,526","33,071","27,175",,"17,842",,
2007,"30,212",,"32,398","9,312",,"14,182","19,332","30,825","23,515",,"16,043",,
,,,,,,,,,,,,,
"Woodland pastured .................................................. farms, 2012",272,,188,220,,123,90,418,130,,272,,
2007,344,,211,212,,179,94,478,150,,244,,
"acres, 2012","13,616",,"5,822","5,023",,"2,647","2,755","9,728","5,771",,"5,899",,
2007,"19,024",,"6,152","4,836",,"4,470","3,730","12,726","8,960",,"4,959",,
"Woodland not pastured ............................................ farms, 2012",280,,382,187,,194,209,414,243,,294,,
2007,271,,419,174,,227,219,427,183,,307,,
"acres, 2012","14,650",,"27,466","5,834",,"12,126","15,771","23,343","21,404",,"11,943",,
2007,"11,188",,"26,246","4,476",,"9,712","15,602","18,099","14,555",,"11,084",,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text)  ............... farms, 2012",487,,380,393,,282,193,752,312,,462,,
2007,604,,413,332,,350,246,777,292,,445,,
"acres, 2012","26,589",,"18,122","15,848",,"14,676","11,804","50,626","23,622",,"20,104",,
2007,"34,738",,"17,142","10,858",,"15,971","12,897","45,878","21,158",,"17,243",,
,,,,,,,,,,,,,
"Land in farmsteads, homes, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc.  ..................... farms, 2012",420,,478,259,,270,249,548,258,,404,,
2007,346,,498,180,,268,209,502,202,,351,,
"acres, 2012","2,937",,"5,092","1,180",,"2,146","2,500","3,399","1,685",,"2,693",,
2007,"3,146",,"8,185",952,,"2,646","3,094","4,070","1,638",,"3,320",,
"Pastureland, all types  .................................................. farms, 2012",547,,432,411,,308,227,791,336,,504,,
2007,749,,600,419,,438,324,946,384,,590,,
"acres, 2012","43,072",,"28,062","21,855",,"19,772","16,791","65,148","35,471",,"27,772",,
2007,"68,349",,"35,707","21,250",,"27,961","23,922","72,474","41,248",,"29,331",,
,,,,,,,,,,,,,
CONSERVATION AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs  .............................. farms, 2012",5,,206,1,,7,96,14,7,,2,,
2007,11,,314,-,,9,154,9,6,,-,,
"acres, 2012",137,,"11,211",(D),,569,"3,941",74,323,,(D),,
2007,513,,"17,143",-,,427,"6,158",20,106,,-,,
,,,,,,,,,,,,,
"Land enrolled in crop insurance programs ................... farms, 2012",26,,52,12,,13,26,12,13,,10,,
2007,29,,70,9,,15,38,21,9,,20,,
"acres, 2012","14,902",,"67,428",831,,"3,584","8,963",184,"1,675",,"1,716",,
2007,"11,683",,"56,907",302,,"2,857","12,241",212,177,,"1,539",,
,,,,,,,,,,,#NAME?,,
Item,Coffee,,Crockett,Cumberland,Davidson,Decatur,,DeKalb,,Dickson,Dyer,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland  ........................................................ farms, 2012",92,,120,103,55,82,,70,,165,126,,
2007,132,,154,101,70,128,,103,,201,133,,
"acres, 2012","1,963",,"6,987","3,637","1,462","3,926",,"2,058",,"3,917","5,705",,
2007,"5,154",,"12,848","5,165","2,996","6,635",,"3,686",,"6,376","17,968",,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed  ...................................... farms, 2012",71,,115,90,51,78,,62,,138,116,,
2007,72,,131,71,55,90,,78,,148,112,,
"acres, 2012","1,693",,"6,856","2,490","1,407","3,785",,"1,714",,"3,049","5,032",,
2007,"2,989",,"7,576","2,975","2,031","5,230",,"2,705",,"4,212","7,710",,
"Cropland on which all crops failed  ....................... farms, 2012",23,,7,14,7,5,,14,,41,8,,
2007,64,,26,45,20,43,,45,,66,28,,
"acres, 2012",267,,131,(D),55,141,,(D),,868,(D),,
2007,"2,165",,"5,272","2,190",965,"1,405",,981,,"2,164","10,258",,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow  .................. farms, 2012",3,,-,1,-,-,,1,,-,2,,
2007,-,,-,-,-,-,,-,,-,-,,
"acres, 2012",3,,-,(D),-,-,,(D),,-,(D),,
2007,-,,-,-,-,-,,-,,-,-,,
,,,,,,,,,,,,,
"Total woodland  ............................................................ farms, 2012",543,,115,531,217,281,,414,,805,135,,
2007,551,,133,485,263,271,,394,,801,121,,
"acres, 2012","25,328",,"6,707","39,089","12,338","26,624",,"23,845",,"43,766","7,233",,
2007,"22,774",,"5,444","36,162","10,540","21,603",,"22,669",,"38,414","5,442",,
,,,,,,,,,,,,,
"Woodland pastured  ................................................. farms, 2012",305,,32,234,109,143,,240,,365,47,,
2007,301,,56,274,139,130,,255,,457,40,,
"acres, 2012","8,159",,"1,211","10,686","3,432","7,539",,"9,660",,"9,934","1,248",,
2007,"7,850",,"1,449","12,798","4,354","6,836",,"10,906",,"12,063","1,441",,
"Woodland not pastured  ........................................... farms, 2012",365,,94,397,139,202,,253,,618,100,,
2007,361,,89,327,154,202,,208,,540,93,,
"acres, 2012","17,169",,"5,496","28,403","8,906","19,085",,"14,185",,"33,832","5,985",,
2007,"14,924",,"3,995","23,364","6,186","14,767",,"11,763",,"26,351","4,001",,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text)  .............. farms, 2012",627,,145,549,239,278,,454,,791,184,,
2007,629,,176,541,325,254,,477,,792,221,,
"acres, 2012","37,242",,"9,664","36,278","9,482","22,522",,"29,500",,"53,231","13,914",,
2007,"30,123",,"7,437","29,037","11,598","18,781",,"30,707",,"39,139","12,531",,
,,,,,,,,,,,,,
"Land in farmsteads, homes, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc.  ..................... farms, 2012",578,,197,453,216,273,,396,,726,252,,
2007,450,,183,362,205,207,,320,,601,168,,
"acres, 2012","3,292",,"2,061","4,264","1,721","3,102",,"2,696",,"5,375","2,212",,
2007,"3,262",,"2,347","3,035","1,805","2,903",,"3,216",,"6,329","1,787",,
"Pastureland, all types  .................................................. farms, 2012",677,,171,590,266,315,,503,,876,205,,
2007,803,,241,717,424,334,,600,,"1,065",315,,
"acres, 2012","48,324",,"15,493","56,993","14,669","34,230",,"42,973",,"70,665","17,033",,
2007,"52,394",,"16,716","57,468","22,551","35,055",,"53,633",,"69,916","24,459",,
,,,,,,,,,,,,,
CONSERVATION AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs  ............................. farms, 2012",12,,97,20,-,45,,6,,6,83,,
2007,17,,146,21,-,39,,8,,16,132,,
"acres, 2012",404,,"5,942",884,-,"1,545",,241,,329,"3,938",,
2007,786,,"7,804","1,372",-,"1,718",,257,,919,"7,049",,
,,,,,,,,,,,,,
"Land enrolled in crop insurance programs  .................. farms, 2012",73,,84,7,4,6,,19,,16,109,,
2007,50,,88,5,4,9,,80,,18,147,,
"acres, 2012","42,935",,"78,513",807,121,"2,487",,"5,021",,"1,622","129,858",,
2007,"27,502",,"84,519",661,64,"3,832",,"5,847",,"1,346","145,299",,
,,,,,,,,,,,#NAME?,,
Item,Fayette,Fentress,Franklin,,Gibson,Giles,,Grainger,Greene,Grundy,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland  ......................................................... farms, 2012",206,77,90,,269,174,,90,279,35,,,
2007,284,79,126,,344,225,,132,347,43,,,
"acres, 2012","20,044","2,085","2,312",,"11,087","5,622",,"1,403","5,124",834,,,
2007,"30,031","2,902","7,289",,"22,823","9,424",,"2,722","7,492","2,939",,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed  ....................................... farms, 2012",196,54,70,,258,148,,73,244,27,,,
2007,251,50,79,,318,166,,87,229,25,,,
"acres, 2012","19,495","1,418","1,910",,"10,867","4,834",,"1,037","4,296",713,,,
2007,"23,012","1,414","3,054",,"17,069","6,461",,"1,895","4,874","1,444",,,
"Cropland on which all crops failed  ....................... farms, 2012",15,28,20,,17,30,,20,39,9,,,
2007,43,34,54,,35,69,,43,124,21,,,
"acres, 2012",549,667,398,,(D),788,,363,823,(D),,,
2007,(D),"1,488","4,224",,"5,754","2,963",,811,"2,605","1,495",,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow  .................. farms, 2012",-,-,4,,1,-,,3,5,1,,,
2007,2,-,4,,-,-,,7,5,-,,,
"acres, 2012",-,-,4,,(D),-,,3,5,(D),,,
2007,(D),-,11,,-,-,,16,13,-,,,
,,,,,,,,,,,,,
"Total woodland  ............................................................ farms, 2012",416,320,454,,343,"1,162",,591,"1,564",181,,,
2007,417,329,519,,367,"1,050",,613,"1,665",186,,,
"acres, 2012","46,585","25,783","19,062",,"11,308","62,805",,"22,269","39,272","9,041",,,
2007,"38,560","19,613","17,387",,"11,636","54,030",,"22,633","35,353","9,801",,,
,,,,,,,,,,,,,
"Woodland pastured .................................................. farms, 2012",158,164,220,,108,798,,364,933,72,,,
2007,184,183,277,,132,734,,378,987,90,,,
"acres, 2012","6,716","7,372","4,819",,"2,136","38,082",,"8,331","14,672","1,353",,,
2007,"6,864","6,986","6,369",,"2,749","34,695",,"8,265","14,660","1,454",,,
"Woodland not pastured ............................................ farms, 2012",322,220,304,,269,555,,361,943,142,,,
2007,291,198,312,,269,467,,353,963,152,,,
"acres, 2012","39,869","18,411","14,243",,"9,172","24,723",,"13,938","24,600","7,688",,,
2007,"31,696","12,627","11,018",,"8,887","19,335",,"14,368","20,693","8,347",,,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text)  ............... farms, 2012",378,419,572,,362,"1,349",,690,"1,980",188,,,
2007,434,403,663,,391,"1,259",,655,"1,938",178,,,
"acres, 2012","29,528","36,484","28,277",,"20,234","111,043",,"33,618","86,456","8,243",,,
2007,"26,989","28,461","30,876",,"17,587","95,220",,"25,822","66,837","9,127",,,
,,,,,,,,,,,,,
"Land in farmsteads, homes, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc.  ..................... farms, 2012",439,313,479,,484,"1,022",,537,"1,618",198,,,
2007,378,264,456,,436,721,,455,"1,505",169,,,
"acres, 2012","5,495","2,231","3,239",,"4,416","7,866",,"3,519","9,469","1,546",,,
2007,"7,252","2,040","2,848",,"7,276","8,188",,"3,602","8,432","1,603",,,
"Pastureland, all types  .................................................. farms, 2012",458,461,612,,413,"1,449",,747,"2,087",199,,,
2007,605,524,854,,561,"1,565",,853,"2,572",236,,,
"acres, 2012","48,386","48,293","37,678",,"27,790","159,102",,"46,855","108,460","11,466",,,
2007,"56,925","49,140","52,122",,"36,581","159,342",,"50,425","116,630","15,735",,,
,,,,,,,,,,,,,
CONSERVATION AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs  .............................. farms, 2012",169,5,24,,217,59,,-,8,4,,,
2007,272,21,31,,344,82,,-,6,3,,,
"acres, 2012","17,622",262,953,,"7,855","2,116",,-,148,160,,,
2007,"26,128",312,"1,316",,"17,811","4,463",,-,168,62,,,
,,,,,,,,,,,,,
"Land enrolled in crop insurance programs ................... farms, 2012",53,7,65,,155,55,,12,47,5,,,
2007,81,3,104,,190,129,,26,62,18,,,
"acres, 2012","78,844","2,119","35,370",,"181,995","23,511",,276,"6,891","2,349",,,
2007,"67,855",(D),"45,350",,"162,007","24,830",,765,"3,082","4,400",,,
,,,,,,,,,,#NAME?,,,
Item,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,,,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
